q_exit,q_half,total_return
0.08,0.22,0.45004499999999914
0.08,0.23,0.45655799999999935
0.08,0.24,0.3792139999999997
0.08,0.25,0.3928209999999992
0.08,0.26,0.3550420000000001
0.08,0.27,0.3210849999999994
0.08,0.28,0.40710500000000027
0.08,0.29,0.35000399999999976
0.08,0.3,0.4214219999999995
0.08,0.31,0.4214219999999995
0.08,0.32,0.40381400000000034
0.08,0.33,0.390258
0.08,0.34,0.4573179999999999
0.08,0.35000000000000003,0.43011799999999933
0.08,0.36,0.44961899999999955
0.08,0.37,0.4624959999999998
0.08,0.38,0.4762639999999996
0.08,0.39,0.4619479999999998
0.08,0.4,0.42919900000000033
0.09,0.1,0.6779309999999998
0.09,0.11,0.7097289999999996
0.09,0.12,0.7188819999999998
0.09,0.13,0.69465
0.09,0.14,0.6669750000000001
0.09,0.15,0.6768309999999997
0.09,0.16,0.6889889999999996
0.09,0.17,0.6288630000000004
0.09,0.18,0.6288630000000004
0.09,0.19,0.566095
0.09,0.2,0.566095
0.09,0.21,0.5343279999999992
0.09,0.22,0.6225
0.09,0.23,0.6216219999999995
0.09,0.24,0.5432019999999997
0.09,0.25,0.5335479999999999
0.09,0.26,0.48380099999999926
0.09,0.27,0.48370500000000005
0.09,0.28,0.4863970000000002
0.09,0.29,0.48926299999999934
0.09,0.3,0.5584629999999999
0.09,0.31,0.5584629999999999
0.09,0.32,0.5621479999999999
0.09,0.33,0.5219820000000002
0.09,0.34,0.5804429999999994
0.09,0.35000000000000003,0.5746309999999992
0.09,0.36,0.5936909999999991
0.09,0.37,0.573855
0.09,0.38,0.5987469999999995
0.09,0.39,0.5802169999999989
0.09,0.4,0.5648570000000002
0.1,0.11,0.6491609999999992
0.1,0.12,0.6674589999999996
0.1,0.13,0.6239629999999996
0.1,0.14,0.6112699999999998
0.1,0.15,0.6205139999999996
0.1,0.16,0.6426970000000001
0.1,0.17,0.5351340000000002
0.1,0.18,0.5351340000000002
0.1,0.19,0.5024509999999995
0.1,0.2,0.5024509999999995
0.1,0.21,0.4795659999999995
0.1,0.22,0.5505949999999995
0.1,0.23,0.5629859999999991
0.1,0.24,0.4445079999999997
0.1,0.25,0.47895
0.1,0.26,0.4785119999999996
0.1,0.27,0.40396299999999874
0.1,0.28,0.4278879999999994
0.1,0.29,0.47021199999999963
0.1,0.3,0.4953579999999991
0.1,0.31,0.4953579999999991
0.1,0.32,0.5378540000000003
0.1,0.33,0.49758200000000063
0.1,0.34,0.5737939999999997
0.1,0.35000000000000003,0.5401220000000002
0.1,0.36,0.5611519999999999
0.1,0.37,0.6041750000000004
0.1,0.38,0.624691000000001
0.1,0.39,0.6089560000000007
0.1,0.4,0.5929529999999998
0.11,0.12,0.6774569999999993
0.11,0.13,0.6542849999999998
0.11,0.14,0.6210479999999998
0.11,0.15,0.6240729999999997
0.11,0.16,0.6099359999999991
0.11,0.17,0.628185
0.11,0.18,0.628185
0.11,0.19,0.5283639999999994
0.11,0.2,0.5283639999999994
0.11,0.21,0.5060799999999996
0.11,0.22,0.5603599999999995
0.11,0.23,0.5834779999999999
0.11,0.24,0.49834500000000026
0.11,0.25,0.549693
0.11,0.26,0.485293
0.11,0.27,0.42797999999999936
0.11,0.28,0.4942430000000002
0.11,0.29,0.47418700000000014
0.11,0.3,0.5399739999999997
0.11,0.31,0.5399739999999997
0.11,0.32,0.5502499999999999
0.11,0.33,0.5626960000000008
0.11,0.34,0.5805240000000007
0.11,0.35000000000000003,0.5992160000000004
0.11,0.36,0.6017800000000002
0.11,0.37,0.6117160000000004
0.11,0.38,0.6309200000000006
0.11,0.39,0.6171080000000004
0.11,0.4,0.6008479999999994
0.12,0.13,0.6723920000000001
0.12,0.14,0.6381970000000001
0.12,0.15,0.6475690000000003
0.12,0.16,0.6297600000000001
0.12,0.17,0.5720349999999994
0.12,0.18,0.5720349999999994
0.12,0.19,0.5423619999999989
0.12,0.2,0.5423619999999989
0.12,0.21,0.5408359999999999
0.12,0.22,0.6034579999999994
0.12,0.23,0.5919879999999993
0.12,0.24,0.5100349999999993
0.12,0.25,0.469865
0.12,0.26,0.45003400000000005
0.12,0.27,0.42980400000000074
0.12,0.28,0.47856599999999916
0.12,0.29,0.49888500000000024
0.12,0.3,0.5247130000000004
0.12,0.31,0.5247130000000004
0.12,0.32,0.5325379999999993
0.12,0.33,0.5803760000000004
0.12,0.34,0.6386290000000003
0.12,0.35000000000000003,0.6018019999999997
0.12,0.36,0.6211259999999998
0.12,0.37,0.6169669999999996
0.12,0.38,0.6689750000000001
0.12,0.39,0.6526060000000007
0.12,0.4,0.6323800000000013
0.13,0.14,0.6013469999999999
0.13,0.15,0.642865
0.13,0.16,0.6251399999999998
0.13,0.17,0.5678949999999998
0.13,0.18,0.5678949999999998
0.13,0.19,0.5309589999999997
0.13,0.2,0.5309589999999997
0.13,0.21,0.5303610000000003
0.13,0.22,0.5309829999999993
0.13,0.23,0.5904769999999995
0.13,0.24,0.4703199999999994
0.13,0.25,0.4836009999999995
0.13,0.26,0.4451149999999988
0.13,0.27,0.37862899999999966
0.13,0.28,0.44467699999999977
0.13,0.29,0.4738270000000002
0.13,0.3,0.5021370000000007
0.13,0.31,0.5021370000000007
0.13,0.32,0.528301000000001
0.13,0.33,0.5277870000000007
0.13,0.34,0.56524
0.13,0.35000000000000003,0.5554600000000003
0.13,0.36,0.5712380000000004
0.13,0.37,0.6267479999999999
0.13,0.38,0.6270650000000006
0.13,0.39,0.6110139999999997
0.13,0.4,0.6145960000000004
0.14,0.15,0.5773789999999999
0.14,0.16,0.5624649999999993
0.14,0.17,0.5428059999999997
0.14,0.18,0.5428059999999997
0.14,0.19,0.48292499999999916
0.14,0.2,0.48292499999999916
0.14,0.21,0.4936329999999991
0.14,0.22,0.5257959999999997
0.14,0.23,0.5271629999999998
0.14,0.24,0.4791320000000001
0.14,0.25,0.4486269999999992
0.14,0.26,0.43371600000000043
0.14,0.27,0.36773799999999923
0.14,0.28,0.39227399999999957
0.14,0.29,0.40812599999999954
0.14,0.3,0.4684930000000005
0.14,0.31,0.4684930000000005
0.14,0.32,0.47764600000000046
0.14,0.33,0.50207
0.14,0.34,0.5789380000000011
0.14,0.35000000000000003,0.5501520000000006
0.14,0.36,0.5655590000000001
0.14,0.37,0.5685080000000005
0.14,0.38,0.5808280000000006
0.14,0.39,0.5837270000000001
0.14,0.4,0.5502300000000002
0.15,0.16,0.6133770000000001
0.15,0.17,0.5367710000000003
0.15,0.18,0.5367710000000003
0.15,0.19,0.49269799999999964
0.15,0.2,0.49269799999999964
0.15,0.21,0.5034599999999994
0.15,0.22,0.5782470000000002
0.15,0.23,0.5370859999999993
0.15,0.24,0.44056999999999946
0.15,0.25,0.43392799999999987
0.15,0.26,0.40811600000000015
0.15,0.27,0.3843770000000002
0.15,0.28,0.40899599999999947
0.15,0.29,0.448936
0.15,0.3,0.46309600000000084
0.15,0.31,0.46309600000000084
0.15,0.32,0.4723840000000006
0.15,0.33,0.5222239999999996
0.15,0.34,0.5787800000000005
0.15,0.35000000000000003,0.5553299999999997
0.15,0.36,0.5716079999999999
0.15,0.37,0.5678940000000008
0.15,0.38,0.614353000000001
0.15,0.39,0.5987620000000013
0.15,0.4,0.5825770000000001
0.16,0.17,0.5219569999999998
0.16,0.18,0.5219569999999998
0.16,0.19,0.4953469999999993
0.16,0.2,0.4953469999999993
0.16,0.21,0.4903899999999992
0.16,0.22,0.5252979999999994
0.16,0.23,0.5582109999999987
0.16,0.24,0.4389119999999995
0.16,0.25,0.4745520000000001
0.16,0.26,0.37768099999999927
0.16,0.27,0.3538739999999996
0.16,0.28,0.44354999999999944
0.16,0.29,0.4488470000000002
0.16,0.3,0.4337380000000004
0.16,0.31,0.4337380000000004
0.16,0.32,0.46198399999999995
0.16,0.33,0.5171899999999998
0.16,0.34,0.5716060000000003
0.16,0.35000000000000003,0.5610390000000012
0.16,0.36,0.5826080000000011
0.16,0.37,0.5609730000000008
0.16,0.38,0.6075000000000008
0.16,0.39,0.5914000000000013
0.16,0.4,0.5757200000000011
0.17,0.18,0.519687
0.17,0.19,0.45961499999999966
0.17,0.2,0.45961499999999966
0.17,0.21,0.4547499999999993
0.17,0.22,0.5057949999999993
0.17,0.23,0.5207129999999993
0.17,0.24,0.38907899999999973
0.17,0.25,0.38412500000000005
0.17,0.26,0.3575769999999998
0.17,0.27,0.33795299999999995
0.17,0.28,0.389543
0.17,0.29,0.37865499999999996
0.17,0.3,0.42895500000000064
0.17,0.31,0.42895500000000064
0.17,0.32,0.4398219999999995
0.17,0.33,0.4766290000000002
0.17,0.34,0.548095
0.17,0.35000000000000003,0.520035
0.17,0.36,0.5406240000000013
0.17,0.37,0.5513810000000001
0.17,0.38,0.5970420000000021
0.17,0.39,0.5813640000000013
0.17,0.4,0.5668920000000006
0.18,0.19,0.45961499999999966
0.18,0.2,0.45961499999999966
0.18,0.21,0.4547499999999993
0.18,0.22,0.5057949999999993
0.18,0.23,0.5207129999999993
0.18,0.24,0.38907899999999973
0.18,0.25,0.38412500000000005
0.18,0.26,0.3575769999999998
0.18,0.27,0.33795299999999995
0.18,0.28,0.389543
0.18,0.29,0.37865499999999996
0.18,0.3,0.42895500000000064
0.18,0.31,0.42895500000000064
0.18,0.32,0.4398219999999995
0.18,0.33,0.4766290000000002
0.18,0.34,0.548095
0.18,0.35000000000000003,0.520035
0.18,0.36,0.5406240000000013
0.18,0.37,0.5513810000000001
0.18,0.38,0.5970420000000021
0.18,0.39,0.5813640000000013
0.18,0.4,0.5668920000000006
0.19,0.2,0.38433599999999957
0.19,0.21,0.3796749999999993
0.19,0.22,0.5505669999999996
0.19,0.23,0.43853899999999957
0.19,0.24,0.44359099999999985
0.19,0.25,0.3792089999999997
0.19,0.26,0.3319479999999999
0.19,0.27,0.3644520000000002
0.19,0.28,0.3724379999999998
0.19,0.29,0.38308200000000014
0.19,0.3,0.4818899999999995
0.19,0.31,0.4818899999999995
0.19,0.32,0.4550189999999996
0.19,0.33,0.5471969999999999
0.19,0.34,0.5370950000000005
0.19,0.35000000000000003,0.6138850000000007
0.19,0.36,0.5465960000000001
0.19,0.37,0.5520880000000004
0.19,0.38,0.5560189999999994
0.19,0.39,0.5409020000000002
0.19,0.4,0.5260480000000005
0.2,0.21,0.3796749999999993
0.2,0.22,0.5505669999999996
0.2,0.23,0.43853899999999957
0.2,0.24,0.44359099999999985
0.2,0.25,0.3792089999999997
0.2,0.26,0.3319479999999999
0.2,0.27,0.3644520000000002
0.2,0.28,0.3724379999999998
0.2,0.29,0.38308200000000014
0.2,0.3,0.4818899999999995
0.2,0.31,0.4818899999999995
0.2,0.32,0.4550189999999996
0.2,0.33,0.5471969999999999
0.2,0.34,0.5370950000000005
0.2,0.35000000000000003,0.6138850000000007
0.2,0.36,0.5465960000000001
0.2,0.37,0.5520880000000004
0.2,0.38,0.5560189999999994
0.2,0.39,0.5409020000000002
0.2,0.4,0.5260480000000005
